Date,Year,Month,Day,Start Time,End Time,Duration,MaxPfu,Region,Location,Flare Maximum (UTC),Type IIRadio Emission,Type IV,Linear Speed,Imagery/Misc
2/1/2001,2001,2,1,12:45,9:00,20:15,"2,360",9628,S18W90,"M9/N/A  
        10/01 0515",No,No,"1405  
        km/s",C2
9/1/2001,2001,9,1,22:25,22:30,0:05,11,9661,N16W18,"X1/2B  
        10/19 0105",Yes,Yes,"558  
        km/s",C2
2/2/2001,2001,2,2,19:10,21:30,2:20,24,9672,S21E18,"M6/2N  
        10/22 1508",Yes,Yes,"1336  
        km/s",C2
6/1/2001,2001,6,1,2:15,21:50,19:35,"31,700",9684,N06W18,"X1/3B  
        11/04 1620",Yes,Yes,"1329  
        km/s",C2
12/2/2000,2001,0,2,10:50,1:00,14:10,34,9704,S13E42,"M2/1N  
        11/17 0525",Yes,Yes,"1379  
        km/s",C2
4/2/2001,2001,4,2,23:20,7:50,8:30,"18,900",9704,S15W34,"M9/2N  
        11/22 2330",Yes,Yes,"1437  
        km/s",C2EIT
6/2/2001,2001,6,2,6:05,11:15,5:10,779,9742,N08W54,"M7/1B  
        12/26 0540",Yes,Yes,"1446  
        km/s",C2
9/2/2001,2001,9,2,3:00,9:50,6:50,76,9742,N08W54,"M7/1B  
        12/26 0540",Yes,Yes,"1446  
        km/s",C2
1/3/2001,2001,1,3,21:35,16:20,18:45,108,9767,S23E90,"X3/N/A  
        12/28 2045",Yes,No,"2216  
        km/s",C2
1/1/2002,2002,1,1,20:15,5:00,8:45,91,N/A,S00E90,"C9/N/A  
        01/08 2025",No,No,"1794  
        km/s",C2
5/1/2002,2002,5,1,11:10,20:00,8:50,15,9767,S18W90,"M4/N/A  
        01/14 0627",Yes,No,"1492  
        km/s",C2
12/2/2001,2002,0,2,1:00,3:50,2:50,13,9825,N12W72,"M5/1N  
        02/20 0612",Yes,Yes,"952  
        km/s",C2
7/1/2002,2002,7,1,10:00,13:00,3:00,13,9866,S08W03,"M2/1F  
        03/15 2312",No,Yes,"957  
        km/s",C2
9/1/2002,2002,9,1,13:00,17:00,4:00,53,9870,S15W22,"M1/SF  
        03/18 0231",No,Yes,"989  
        km/s",C2
12/2/2001,2002,0,2,15:15,15:25,0:10,19,9870,S15W22,"M1/SF  
        03/18 0231",No,Yes,989 km/s,C2
3/2/2002,2002,3,2,20:20,13:20,17:00,16,9866,S09W90,"M1/N/A  
        03/22 1113",No,No,"1750  
        km/s",C2
7/1/2002,2002,7,1,15:30,15:40,0:10,24,9906,S13W37,"M2/2N  
        04/17 0824",Yes,Yes,"1240  
        km/s",C2
1/2/2002,2002,1,2,2:25,23:20,20:55,"2,520",9906,S13W37,"X1/1F  
        04/21 0151",Yes,Yes,"2393  
        km/s",C2
3/2/2002,2002,3,2,17:55,10:55,17:00,820,N/A,S22W53,"C5/SF  
        05/22 0349",No,No,"1557  
        km/s",C2
7/1/2002,2002,7,1,18:30,19:55,1:25,22,10017,S19W100,"M1/N/A  
        07/07 1143",No,No,"1329  
        km/s",C2
